Wochentag, Datum, Was?, positiv, negativ
Mo,30.12., , ,
Di,31.12., , ,
Mi,1.1.,,,
Do,2.1.,,,
Fr,3.1., , ,
Sa,4.1., , ,
So,5.1., , ,
Mo,6.1., , ,
Di,7.1., , ,
Mi,8.1., , ,
Do,9.1., , ,
Fr,10.1., , ,
Sa,11.1., , ,
So,12.1., , ,
Mo,13.1.,,,
Di,14.1., , ,
Mi,15.1., , ,
Do,16.1.,Reitstunde bei Frau Eckert - Pferd hat frei,guter Grundsitz - noch zu retten,
Fr,17.1.,Reitplatz,guter Schritt - antraben durch Einatmen klappt gut, zuviel Gehaue von mir - zuviel Ungeduld - zu wenig gelobt - schlackernde Unterschenkel
Sa,18.1.,Spazierengehen mit Sven obendrauf,braves Pferd! Hat oft auf Sven reagiert,
So,19.1.,Reitstunde bei Dagi,guter Schritt - Schulterherein klappt im Takt mit wenig Aufwand - Rückwärtsrichten am langen Zügel,oft schlechte Reaktion aufs Antraben - Servolenkung bei der unendlichen 8 verloren - triebig vor dem Ausgang - zu wenig gelobt - schlechte Gertenhaltung -  schlechte Handhaltung
Mo,20.1.,Reithalle,schön vorwärts - auch im Galopp gut reagiert,meine Beine
Di,21.1.,Stehtag,,
Mi,22.1.,Reitplatz,im Trab immer flott reagiert - auf Einatmen teilweise angaloppiert - generell brav,die unendlichen 8en funktionieren eher schlecht als recht
Do,23.1., , ,
Fr,24.1., , ,
Sa,25.1., , ,
So,26.1., , ,
Mo,27.1., , ,
Di,28.1., , ,
Mi,29.1., , ,
Do,30.1., , ,
Fr,31.1., , ,
Sa,1.2., , ,
So,2.2., , ,
Mo,3.2., , ,
Di,4.2., , ,
Mi,5.2., , ,
Do,6.2., , ,
Fr,7.2., , ,
Sa,8.2., , ,
So,9.2., , ,
Mo,10.2., , ,
Di,11.2., , ,
Mi,12.2., , ,
Do,13.2., , ,
Fr,14.2., , ,
Sa,15.2., , ,
So,16.2., , ,
Mo,17.2., , ,
Di,18.2., , ,
Mi,19.2., , ,
Do,20.2., , ,
Fr,21.2., , ,
Sa,22.2., , ,
So,23.2., , ,
Mo,24.2., , ,
Di,25.2., , ,
Mi,26.2., , ,
Do,27.2., , ,
Fr,28.2., , ,
Sa,1.3., , ,
So,2.3., , ,
Mo,3.3., , ,
Di,4.3., , ,
Mi,5.3., , ,
Do,6.3., , ,
Fr,7.3., , ,
Sa,8.3., , ,
So,9.3., , ,
Mo,10.3., , ,
Di,11.3., , ,
Mi,12.3., , ,
Do,13.3., , ,
Fr,14.3., , ,
Sa,15.3., , ,
So,16.3., , ,
Mo,17.3., , ,
Di,18.3., , ,
Mi,19.3., , ,
Do,20.3., , ,
Fr,21.3., , ,
Sa,22.3., , ,
So,23.3., , ,
Mo,24.3., , ,
Di,25.3., , ,
Mi,26.3., , ,
Do,27.3., , ,
Fr,28.3., , ,
Sa,29.3., , ,
So,30.3., , ,
Mo,31.3., , ,
Di,1.4., , ,
Mi,2.4., , ,
Do,3.4., , ,
Fr,4.4., , ,
Sa,5.4., , ,
So,6.4., , ,
Mo,7.4., , ,
Di,8.4., , ,
Mi,9.4., , ,
Do,10.4., , ,
Fr,11.4., , ,
Sa,12.4., , ,
So,13.4., , ,
Mo,14.4., , ,
Di,15.4., , ,
Mi,16.4., , ,
Do,17.4., , ,
Fr,18.4., , ,
Sa,19.4., , ,
So,20.4., , ,
Mo,21.4., , ,
Di,22.4., , ,
Mi,23.4., , ,
Do,24.4., , ,
Fr,25.4., , ,
Sa,26.4., , ,
So,27.4., , ,
Mo,28.4., , ,
Di,29.4., , ,
Mi,30.4., , ,
Do,1.5., , ,
Fr,2.5., , ,
Sa,3.5., , ,
So,4.5., , ,
Mo,5.5., , ,
Di,6.5., , ,
Mi,7.5., , ,
Do,8.5., , ,
Fr,9.5., , ,
Sa,10.5., , ,
So,11.5., , ,
Mo,12.5., , ,
Di,13.5., , ,
Mi,14.5., , ,
Do,15.5., , ,
Fr,16.5., , ,
Sa,17.5., , ,
So,18.5., , ,
Mo,19.5., , ,
Di,20.5., , ,
Mi,21.5., , ,
Do,22.5., , ,
Fr,23.5., , ,
Sa,24.5., , ,
So,25.5., , ,
Mo,26.5., , ,
Di,27.5., , ,
Mi,28.5., , ,
Do,29.5., , ,
Fr,30.5., , ,
Sa,31.5., , ,
So,1.6., , ,
Mo,2.6., , ,
Di,3.6., , ,
Mi,4.6., , ,
Do,5.6., , ,
Fr,6.6., , ,
Sa,7.6., , ,
So,8.6., , ,
Mo,9.6., , ,
Di,10.6., , ,
Mi,11.6., , ,
Do,12.6., , ,
Fr,13.6., , ,
Sa,14.6., , ,
So,15.6., , ,
Mo,16.6., , ,
Di,17.6., , ,
Mi,18.6., , ,
Do,19.6., , ,
Fr,20.6., , ,
Sa,21.6., , ,
So,22.6., , ,
Mo,23.6., , ,
Di,24.6., , ,
Mi,25.6., , ,
Do,26.6., , ,
Fr,27.6., , ,
Sa,28.6., , ,
So,29.6., , ,
Mo,30.6., , ,
Di,1.7., , ,
Mi,2.7., , ,
Do,3.7., , ,
Fr,4.7., , ,
Sa,5.7., , ,
So,6.7., , ,
Mo,7.7., , ,
Di,8.7., , ,
Mi,9.7., , ,
Do,10.7., , ,
Fr,11.7., , ,
Sa,12.7., , ,
So,13.7., , ,
Mo,14.7., , ,
Di,15.7., , ,
Mi,16.7., , ,
Do,17.7., , ,
Fr,18.7., , ,
Sa,19.7., , ,
So,20.7., , ,
Mo,21.7., , ,
Di,22.7., , ,
Mi,23.7., , ,
Do,24.7., , ,
Fr,25.7., , ,
Sa,26.7., , ,
So,27.7., , ,
Mo,28.7., , ,
Di,29.7., , ,
Mi,30.7., , ,
Do,31.7., , ,
Fr,1.8., , ,
Sa,2.8., , ,
So,3.8., , ,
Mo,4.8., , ,
Di,5.8., , ,
Mi,6.8., , ,
Do,7.8., , ,
Fr,8.8., , ,
Sa,9.8., , ,
So,10.8., , ,
Mo,11.8., , ,
Di,12.8., , ,
Mi,13.8., , ,
Do,14.8., , ,
Fr,15.8., , ,
Sa,16.8., , ,
So,17.8., , ,
Mo,18.8., , ,
Di,19.8., , ,
Mi,20.8., , ,
Do,21.8., , ,
Fr,22.8., , ,
Sa,23.8., , ,
So,24.8., , ,
Mo,25.8., , ,
Di,26.8., , ,
Mi,27.8., , ,
Do,28.8., , ,
Fr,29.8., , ,
Sa,30.8., , ,
So,31.8., , ,
Mo,1.9., , ,
Di,2.9., , ,
Mi,3.9., , ,
Do,4.9., , ,
Fr,5.9., , ,
Sa,6.9., , ,
So,7.9., , ,
Mo,8.9., , ,
Di,9.9., , ,
Mi,10.9., , ,
Do,11.9., , ,
Fr,12.9., , ,
Sa,13.9., , ,
So,14.9., , ,
Mo,15.9., , ,
Di,16.9., , ,
Mi,17.9., , ,
Do,18.9., , ,
Fr,19.9., , ,
Sa,20.9., , ,
So,21.9., , ,
Mo,22.9., , ,
Di,23.9., , ,
Mi,24.9., , ,
Do,25.9., , ,
Fr,26.9., , ,
Sa,27.9., , ,
So,28.9., , ,
Mo,29.9., , ,
Di,30.9., , ,
Mi,1.10., , ,
Do,2.10., , ,
Fr,3.10., , ,
Sa,4.10., , ,
So,5.10., , ,
Mo,6.10., , ,
Di,7.10., , ,
Mi,8.10., , ,
Do,9.10., , ,
Fr,10.10., , ,
Sa,11.10., , ,
So,12.10., , ,
Mo,13.10., , ,
Di,14.10., , ,
Mi,15.10., , ,
Do,16.10., , ,
Fr,17.10., , ,
Sa,18.10., , ,
So,19.10., , ,
Mo,20.10., , ,
Di,21.10., , ,
Mi,22.10., , ,
Do,23.10., , ,
Fr,24.10., , ,
Sa,25.10., , ,
So,26.10., , ,
Mo,27.10., , ,
Di,28.10., , ,
Mi,29.10., , ,
Do,30.10., , ,
Fr,31.10., , ,
Sa,1.11., , ,
So,2.11., , ,
Mo,3.11., , ,
Di,4.11., , ,
Mi,5.11., , ,
Do,6.11., , ,
Fr,7.11., , ,
Sa,8.11., , ,
So,9.11., , ,
Mo,10.11., , ,
Di,11.11., , ,
Mi,12.11., , ,
Do,13.11., , ,
Fr,14.11., , ,
Sa,15.11., , ,
So,16.11., , ,
Mo,17.11., , ,
Di,18.11., , ,
Mi,19.11., , ,
Do,20.11., , ,
Fr,21.11., , ,
Sa,22.11., , ,
So,23.11., , ,
Mo,24.11., , ,
Di,25.11., , ,
Mi,26.11., , ,
Do,27.11., , ,
Fr,28.11., , ,
Sa,29.11., , ,
So,30.11., , ,
Mo,1.12., , ,
Di,2.12., , ,
Mi,3.12., , ,
Do,4.12., , ,
Fr,5.12., , ,
Sa,6.12., , ,
So,7.12., , ,
Mo,8.12., , ,
Di,9.12., , ,
Mi,10.12., , ,
Do,11.12., , ,
Fr,12.12., , ,
Sa,13.12., , ,
So,14.12., , ,
Mo,15.12., , ,
Di,16.12., , ,
Mi,17.12., , ,
Do,18.12., , ,
Fr,19.12., , ,
Sa,20.12., , ,
So,21.12., , ,
Mo,22.12., , ,
Di,23.12., , ,
Mi,24.12., , ,
Do,25.12., , ,
Fr,26.12., , ,
Sa,27.12., , ,
So,28.12., , ,
Mo,29.12., , ,
Di,30.12., , ,
Mi,31.12., , ,
Do,1.1.,,,
Fr,2.1.,,,
Sa,3.1., , ,
So,4.1., , ,
